run_id,t_id,response
553,AP Activity 19 easy_teach_ap,NA
553,AP Activity 19 easy_learn_ap,NA
553,AP Activity 19 helps_foster_ap,NA
553,AP Activity 19 reps_absolute_ap,NA
553,AP Activity 20 use_skill_ap,NA
553,AP Activity 20 easy_teach_ap,NA
553,AP Activity 20 easy_learn_ap,NA
553,AP Activity 20 helps_foster_ap,NA
553,AP Activity 20 reps_absolute_ap,NA
961,AP Activity 21 use_skill_ap,8
961,AP Activity 21 easy_teach_ap,8
961,AP Activity 21 easy_learn_ap,8
961,AP Activity 21 helps_foster_ap,8
961,AP Activity 21 reps_absolute_ap,8
961,AP Activity 22 use_skill_ap,NA
961,AP Activity 22 easy_teach_ap,NA
961,AP Activity 22 easy_learn_ap,NA
961,AP Activity 22 helps_foster_ap,NA
961,AP Activity 22 reps_absolute_ap,NA
961,AP Activity 23 use_skill_ap,NA
961,AP Activity 23 easy_teach_ap,NA
961,AP Activity 23 easy_learn_ap,NA
961,AP Activity 23 helps_foster_ap,NA
961,AP Activity 23 reps_absolute_ap,NA
961,AP Activity 24 use_skill_ap,NA
961,AP Activity 24 easy_teach_ap,NA
961,AP Activity 24 easy_learn_ap,NA
961,AP Activity 24 helps_foster_ap,NA
961,AP Activity 24 reps_absolute_ap,NA
961,AP Activity 25 use_skill_ap,NA
961,AP Activity 25 easy_teach_ap,NA
961,AP Activity 25 easy_learn_ap,NA
961,AP Activity 25 helps_foster_ap,NA
961,AP Activity 25 reps_absolute_ap,NA
122,RP Activity 1 use_skill_rp,8
122,RP Activity 1 easy_teach_rp,8
122,RP Activity 1 easy_learn_rp,5
122,RP Activity 1 helps_foster_rp,8
122,RP Activity 1 reps_relative_rp,7
122,RP Activity 2 use_skill_rp,8
122,RP Activity 2 easy_teach_rp,8
122,RP Activity 2 easy_learn_rp,7
122,RP Activity 2 helps_foster_rp,7
122,RP Activity 2 reps_relative_rp,8
122,RP Activity 3 use_skill_rp,6
122,RP Activity 3 easy_teach_rp,6
122,RP Activity 3 easy_learn_rp,4
122,RP Activity 3 helps_foster_rp,7
122,RP Activity 3 reps_relative_rp,7
122,RP Activity 4 use_skill_rp,7
122,RP Activity 4 easy_teach_rp,8
122,RP Activity 4 easy_learn_rp,6
122,RP Activity 4 helps_foster_rp,6
122,RP Activity 4 reps_relative_rp,7
122,RP Activity 5 use_skill_rp,6
122,RP Activity 5 easy_teach_rp,3
122,RP Activity 5 easy_learn_rp,3
122,RP Activity 5 helps_foster_rp,7
122,RP Activity 5 reps_relative_rp,6
271,RP Activity 6 use_skill_rp,9
271,RP Activity 6 easy_teach_rp,9
271,RP Activity 6 easy_learn_rp,9
271,RP Activity 6 helps_foster_rp,9
271,RP Activity 6 reps_relative_rp,9
271,RP Activity 7 use_skill_rp,9
271,RP Activity 7 easy_teach_rp,9
271,RP Activity 7 easy_learn_rp,9
271,RP Activity 7 helps_foster_rp,9
271,RP Activity 7 reps_relative_rp,9
271,RP Activity 8 use_skill_rp,9
271,RP Activity 8 easy_teach_rp,9
271,RP Activity 8 easy_learn_rp,9
271,RP Activity 8 helps_foster_rp,9
271,RP Activity 8 reps_relative_rp,9
271,RP Activity 9 use_skill_rp,9
271,RP Activity 9 easy_teach_rp,9
271,RP Activity 9 easy_learn_rp,9
271,RP Activity 9 helps_foster_rp,9
271,RP Activity 9 reps_relative_rp,9
271,RP Activity 10 use_skill_rp,9
271,RP Activity 10 easy_teach_rp,9
271,RP Activity 10 easy_learn_rp,9
271,RP Activity 10 helps_foster_rp,9
271,RP Activity 10 reps_relative_rp,9
436,RP Activity 11 use_skill_rp,7
436,RP Activity 11 easy_teach_rp,5
436,RP Activity 11 easy_learn_rp,4
436,RP Activity 11 helps_foster_rp,7
436,RP Activity 11 reps_relative_rp,6
436,RP Activity 12 use_skill_rp,7
436,RP Activity 12 easy_teach_rp,6
436,RP Activity 12 easy_learn_rp,3
436,RP Activity 12 helps_foster_rp,7
436,RP Activity 12 reps_relative_rp,7
436,RP Activity 13 use_skill_rp,5
436,RP Activity 13 easy_teach_rp,6
436,RP Activity 13 easy_learn_rp,6
436,RP Activity 13 helps_foster_rp,5
436,RP Activity 13 reps_relative_rp,4
436,RP Activity 14 use_skill_rp,7
436,RP Activity 14 easy_teach_rp,5
436,RP Activity 14 easy_learn_rp,3
436,RP Activity 14 helps_foster_rp,6
436,RP Activity 14 reps_relative_rp,5
436,RP Activity 15 use_skill_rp,2
436,RP Activity 15 easy_teach_rp,4
436,RP Activity 15 easy_learn_rp,3
436,RP Activity 15 helps_foster_rp,4
436,RP Activity 15 reps_relative_rp,3
553,RP Activity 16 use_skill_rp,7
553,RP Activity 16 easy_teach_rp,7
553,RP Activity 16 easy_learn_rp,6
553,RP Activity 16 helps_foster_rp,7
553,RP Activity 16 reps_relative_rp,7
553,RP Activity 17 use_skill_rp,7
553,RP Activity 17 easy_teach_rp,7
553,RP Activity 17 easy_learn_rp,6
553,RP Activity 17 helps_foster_rp,7
553,RP Activity 17 reps_relative_rp,7
553,RP Activity 18 use_skill_rp,NA
553,RP Activity 18 easy_teach_rp,NA
553,RP Activity 18 easy_learn_rp,NA
553,RP Activity 18 helps_foster_rp,NA
553,RP Activity 18 reps_relative_rp,NA
553,RP Activity 19 use_skill_rp,NA
553,RP Activity 19 easy_teach_rp,NA
553,RP Activity 19 easy_learn_rp,NA
553,RP Activity 19 helps_foster_rp,NA
553,RP Activity 19 reps_relative_rp,NA
553,RP Activity 20 use_skill_rp,NA
553,RP Activity 20 easy_teach_rp,NA
553,RP Activity 20 easy_learn_rp,NA
553,RP Activity 20 helps_foster_rp,NA
553,RP Activity 20 reps_relative_rp,NA
714,RP Activity 21 use_skill_rp,7
714,RP Activity 21 easy_teach_rp,6
714,RP Activity 21 easy_learn_rp,7
714,RP Activity 21 helps_foster_rp,7
714,RP Activity 21 reps_relative_rp,7
714,RP Activity 22 use_skill_rp,6
714,RP Activity 22 easy_teach_rp,6
714,RP Activity 22 easy_learn_rp,6
714,RP Activity 22 helps_foster_rp,6
714,RP Activity 22 reps_relative_rp,6
714,RP Activity 23 use_skill_rp,7
714,RP Activity 23 easy_teach_rp,6
714,RP Activity 23 easy_learn_rp,6
714,RP Activity 23 helps_foster_rp,6
714,RP Activity 23 reps_relative_rp,6
714,RP Activity 24 use_skill_rp,7
714,RP Activity 24 easy_teach_rp,6
714,RP Activity 24 easy_learn_rp,6
714,RP Activity 24 helps_foster_rp,6
714,RP Activity 24 reps_relative_rp,6
795,RP Activity 25 use_skill_rp,7
