run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,response,question_order,stimulus,slider_start,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
2,1,"[{""page_index"":0,""viewing_time"":81293},{""page_index"":1,""viewing_time"":9179},{""page_index"":2,""viewing_time"":10767}]",101239,instructions,0,101243,0.0-0.0,"""","""","""","""","2021-08-15 13:19:22",188.221.99.163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:90.0) Gecko/20100101 Firefox/90.0",Macintosh,Firefox,90.0,"OS X",10.15,0ecbfd7e0bca3577c1188da95b389c85
2,1,"[{""page_index"":0,""viewing_time"":7096}]",7096,instructions,1,108345,0.0-1.0,"""","""","""","""","2021-08-15 13:19:22",188.221.99.163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:90.0) Gecko/20100101 Firefox/90.0",Macintosh,Firefox,90.0,"OS X",10.15,0ecbfd7e0bca3577c1188da95b389c85
2,1,"""",45354,survey-likert,2,153705,0.0-2.0,"{""ap_perceive_same"":7,""ap_produce_interval"":7,""ap_ref_tonal"":7,""rp_to_ap"":7,""rp_remember_group"":7,""ap_remember_group"":7,""rp_perceive_same"":7,""ap_to_rp"":7,""rp_produce_abref"":7,""rp_name_abref"":7,""rp_lose"":7,""rp_id_440"":7,""rp_name_relation"":7,""ap_produce_abref"":7,""ap_lose"":7,""ap_name_abref"":7,""ap_id_interval"":7,""ap_produce_440"":7,""rp_produce_interval"":7,""ap_name_relation"":7,""rp_id_interval"":7,""ap_id_440"":7,""rp_produce_440"":7,""rp_ref_tonal"":7,""ap_produce_tonality"":7,""rp_produce_tonality"":7}","[20,18,2,15,13,11,26,6,21,10,9,12,7,5,25,27,24,17,23,4,19,14,3,22,8,0,16,1]","""","""","2021-08-15 13:19:22",188.221.99.163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:90.0) Gecko/20100101 Firefox/90.0",Macintosh,Firefox,90.0,"OS X",10.15,0ecbfd7e0bca3577c1188da95b389c85
2,1,"""",21583,survey-text,3,175295,0.0-3.0,"{""Q0"":""lihjkll""}","""","""","""","2021-08-15 13:19:22",188.221.99.163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:90.0) Gecko/20100101 Firefox/90.0",Macintosh,Firefox,90.0,"OS X",10.15,0ecbfd7e0bca3577c1188da95b389c85
2,1,"""",9813,survey-text,4,185114,0.0-4.0,"{""Q0"":""jhlojkhnl""}","""","""","""","2021-08-15 13:19:22",188.221.99.163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:90.0) Gecko/20100101 Firefox/90.0",Macintosh,Firefox,90.0,"OS X",10.15,0ecbfd7e0bca3577c1188da95b389c85
2,1,"[{""page_index"":0,""viewing_time"":3771}]",3771,instructions,5,188891,0.0-5.0,"""","""","""","""","2021-08-15 13:19:22",188.221.99.163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:90.0) Gecko/20100101 Firefox/90.0",Macintosh,Firefox,90.0,"OS X",10.15,0ecbfd7e0bca3577c1188da95b389c85
2,1,"""",20809,survey-likert,6,209709,0.0-6.0,"{""rp_better_others"":7,""rp_tonedeaf"":7,""rp_trained_ap"":7,""re_people_al"":7,""ap_trained_ap"":7,""ap_normal"":7,""rp_normal"":7,""ap_impaired"":7,""ap_better_others"":7,""rp_override"":7,""ap_people_all"":7,""rp_impaired"":7,""ap_tonedeaf"":7,""ap_override"":7}","[6,4,3,0,10,12,5,8,13,2,7,1,11,9]","""","""","2021-08-15 13:19:22",188.221.99.163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:90.0) Gecko/20100101 Firefox/90.0",Macintosh,Firefox,90.0,"OS X",10.15,0ecbfd7e0bca3577c1188da95b389c85
2,1,"[{""page_index"":0,""viewing_time"":3914}]",3914,instructions,7,213627,0.0-7.0,"""","""","""","""","2021-08-15 13:19:22",188.221.99.163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:90.0) Gecko/20100101 Firefox/90.0",Macintosh,Firefox,90.0,"OS X",10.15,0ecbfd7e0bca3577c1188da95b389c85
2,1,"[{""page_index"":0,""viewing_time"":4789}]",4789,instructions,8,218419,0.0-8.0,"""","""","""","""","2021-08-15 13:19:22",188.221.99.163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:90.0) Gecko/20100101 Firefox/90.0",Macintosh,Firefox,90.0,"OS X",10.15,0ecbfd7e0bca3577c1188da95b389c85
2,1,"[{""page_index"":0,""viewing_time"":6652}]",6652,instructions,9,225077,0.0-9.0,"""","""","""","""","2021-08-15 13:19:22",188.221.99.163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:90.0) Gecko/20100101 Firefox/90.0",Macintosh,Firefox,90.0,"OS X",10.15,0ecbfd7e0bca3577c1188da95b389c85
2,1,"""",6006,survey-text,10,231091,0.0-10.0,"{""Q0"":""}","""","""","""","2021-08-15 13:19:22",188.221.99.163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:90.0) Gecko/20100101 Firefox/90.0",Macintosh,Firefox,90.0,"OS X",10.15,0ecbfd7e0bca3577c1188da95b389c85
2,1,"""",12823,survey-likert,11,243922,0.0-11.0,"{""rp_ac_rate"":8}","[0,1,2,3,4]","""","""","2021-08-15 13:19:22",188.221.99.163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:90.0) Gecko/20100101 Firefox/90.0",Macintosh,Firefox,90.0,"OS X",10.15,0ecbfd7e0bca3577c1188da95b389c85
2,1,"""",3820,survey-text,12,247746,0.0-12.0,"{""Q0"":""}","""","""","""","2021-08-15 13:19:22",188.221.99.163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:90.0) Gecko/20100101 Firefox/90.0",Macintosh,Firefox,90.0,"OS X",10.15,0ecbfd7e0bca3577c1188da95b389c85
2,1,"""",11112,survey-likert,13,258863,0.0-13.0,"{""rp_ac_rate"":""}","[0,1,2,3,4]","""","""","2021-08-15 13:19:22",188.221.99.163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:90.0) Gecko/20100101 Firefox/90.0",Macintosh,Firefox,90.0,"OS X",10.15,0ecbfd7e0bca3577c1188da95b389c85
2,1,"""",4265,survey-text,14,263133,0.0-14.0,"{""Q0"":""}","""","""","""","2021-08-15 13:19:22",188.221.99.163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:90.0) Gecko/20100101 Firefox/90.0",Macintosh,Firefox,90.0,"OS X",10.15,0ecbfd7e0bca3577c1188da95b389c85
2,1,"""",10497,survey-likert,15,273636,0.0-15.0,"{""rp_ac_rate"":""}","[0,1,2,3,4]","""","""","2021-08-15 13:19:22",188.221.99.163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:90.0) Gecko/20100101 Firefox/90.0",Macintosh,Firefox,90.0,"OS X",10.15,0ecbfd7e0bca3577c1188da95b389c85
